Study Name	Eurofer_WELDS
Sample Name	2022-04-08
Run Name	spot0w_23p7C
Operator	Ben
Date	4/8/2022
Time	13:42
Sign	NEG
Grating Spacing	06.40um
Channel	3
Number Traces	10000
Files in Batch	1
Batch Number	1
dt	50.000001E-12
time stamp (ms)	13:42:19
	
Time	Amplitude
3.205000E-8	-1.494892E-2
3.210000E-8	-1.494378E-2
3.215000E-8	-1.497461E-2
3.220000E-8	-1.498489E-2
3.225000E-8	-1.502600E-2
3.230000E-8	-1.507739E-2
3.235000E-8	-1.508938E-2
3.240000E-8	-1.510479E-2
3.245000E-8	-1.513391E-2
3.250000E-8	-1.514248E-2
3.255000E-8	-1.515276E-2
3.260000E-8	-1.514762E-2
3.265000E-8	-1.512535E-2
3.270000E-8	-1.507053E-2
3.275000E-8	-1.501058E-2
3.280000E-8	-1.493179E-2
3.285000E-8	-1.486669E-2
3.290000E-8	-1.483415E-2
3.295000E-8	-1.482044E-2
3.300000E-8	-1.486327E-2
3.305000E-8	-1.493350E-2
3.310000E-8	-1.501572E-2
3.315000E-8	-1.509109E-2
3.320000E-8	-1.518188E-2
3.325000E-8	-1.530692E-2
3.330000E-8	-1.539771E-2
3.335000E-8	-1.547136E-2
3.340000E-8	-1.555359E-2
3.345000E-8	-1.555187E-2
3.350000E-8	-1.552275E-2
3.355000E-8	-1.550734E-2
3.360000E-8	-1.544738E-2
3.365000E-8	-1.536345E-2
3.370000E-8	-1.523840E-2
3.375000E-8	-1.510479E-2
3.380000E-8	-1.494549E-2
3.385000E-8	-1.477077E-2
3.390000E-8	-1.458920E-2
3.395000E-8	-1.443160E-2
3.400000E-8	-1.433739E-2
3.405000E-8	-1.423290E-2
3.410000E-8	-1.417980E-2
3.415000E-8	-1.417124E-2
3.420000E-8	-1.414212E-2
3.425000E-8	-1.408045E-2
3.430000E-8	-1.406503E-2
3.435000E-8	-1.405476E-2
3.440000E-8	-1.406161E-2
3.445000E-8	-1.407188E-2
3.450000E-8	-1.409244E-2
3.455000E-8	-1.407531E-2
3.460000E-8	-1.406332E-2
3.465000E-8	-1.403077E-2
3.470000E-8	-1.398281E-2
3.475000E-8	-1.394513E-2
3.480000E-8	-1.391601E-2
3.485000E-8	-1.390744E-2
3.490000E-8	-1.387832E-2
3.495000E-8	-1.386976E-2
3.500000E-8	-1.388517E-2
3.505000E-8	-1.391601E-2
3.510000E-8	-1.398966E-2
3.515000E-8	-1.404619E-2
3.520000E-8	-1.407017E-2
3.525000E-8	-1.405476E-2
3.530000E-8	-1.403249E-2
3.535000E-8	-1.398795E-2
3.540000E-8	-1.396054E-2
3.545000E-8	-1.393485E-2
3.550000E-8	-1.393142E-2
3.555000E-8	-1.393314E-2
3.560000E-8	-1.398452E-2
3.565000E-8	-1.406161E-2
3.570000E-8	-1.414383E-2
3.575000E-8	-1.429628E-2
3.580000E-8	-1.440420E-2
3.585000E-8	-1.448984E-2
3.590000E-8	-1.460119E-2
3.595000E-8	-1.470739E-2
3.600000E-8	-1.476220E-2
3.605000E-8	-1.479304E-2
3.610000E-8	-1.481702E-2
3.615000E-8	-1.480331E-2
3.620000E-8	-1.476906E-2
3.625000E-8	-1.466970E-2
3.630000E-8	-1.455151E-2
3.635000E-8	-1.444702E-2
3.640000E-8	-1.439049E-2
3.645000E-8	-1.434938E-2
3.650000E-8	-1.435281E-2
3.655000E-8	-1.430827E-2
3.660000E-8	-1.427744E-2
3.665000E-8	-1.425860E-2
3.670000E-8	-1.421749E-2
3.675000E-8	-1.414212E-2
3.680000E-8	-1.410443E-2
3.685000E-8	-1.405647E-2
3.690000E-8	-1.399309E-2
3.695000E-8	-1.391258E-2
3.700000E-8	-1.381837E-2
3.705000E-8	-1.376013E-2
3.710000E-8	-1.369504E-2
3.715000E-8	-1.367791E-2
